rid,rname,rdescription,rrequirements_json
50,Head of Welfare Coordinator,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
51,Junior Payroll Admin,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
52,Assistant Payroll Admin,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
53,Senior Payroll Admin,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
54,Lead Payroll Admin,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
55,Head of Payroll Admin,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
56,Junior Support Agent,Assisting in daily tasks and learning Customer Service operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
57,Assistant Support Agent,Supporting the department with Customer Service administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
58,Senior Support Agent,Executing high-level Customer Service independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
59,Lead Support Agent,Leading a team of professionals in Customer Service project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
60,Head of Support Agent,Defining the long-term strategy for Customer Service departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
61,Junior Customer Experience Lead,Assisting in daily tasks and learning Customer Service operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
62,Assistant Customer Experience Lead,Supporting the department with Customer Service administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
63,Senior Customer Experience Lead,Executing high-level Customer Service independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
64,Lead Customer Experience Lead,Leading a team of professionals in Customer Service project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
65,Head of Customer Experience Lead,Defining the long-term strategy for Customer Service departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
66,Junior Returns Specialist,Assisting in daily tasks and learning Customer Service operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
67,Assistant Returns Specialist,Supporting the department with Customer Service administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
68,Senior Returns Specialist,Executing high-level Customer Service independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
69,Lead Returns Specialist,Leading a team of professionals in Customer Service project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
70,Head of Returns Specialist,Defining the long-term strategy for Customer Service departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
71,Junior Warehouse Worker,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
72,Assistant Warehouse Worker,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
73,Senior Warehouse Worker,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
74,Lead Warehouse Worker,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
75,Head of Warehouse Worker,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
76,Junior Inventory Supervisor,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
77,Assistant Inventory Supervisor,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
78,Senior Inventory Supervisor,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
79,Lead Inventory Supervisor,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
80,Head of Inventory Supervisor,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
81,Junior Forklift Operator,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
82,Assistant Forklift Operator,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
83,Senior Forklift Operator,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
84,Lead Forklift Operator,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
85,Head of Forklift Operator,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
86,Junior Stock Controller,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
87,Assistant Stock Controller,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
88,Senior Stock Controller,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
89,Lead Stock Controller,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
90,Head of Stock Controller,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
91,Junior Warehouse Manager,Assisting in daily tasks and learning Logistics operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
92,Assistant Warehouse Manager,Supporting the department with Logistics administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
93,Senior Warehouse Manager,Executing high-level Logistics independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
94,Lead Warehouse Manager,Leading a team of professionals in Logistics project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
95,Head of Warehouse Manager,Defining the long-term strategy for Logistics departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
96,Junior Sales Associate,Assisting in daily tasks and learning Sales operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
97,Assistant Sales Associate,Supporting the department with Sales administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
98,Senior Sales Associate,Executing high-level Sales independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
99,Lead Sales Associate,Leading a team of professionals in Sales project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
100,Head of Sales Associate,Defining the long-term strategy for Sales departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
101,Junior Salesperson,Assisting in daily tasks and learning Sales operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
102,Assistant Salesperson,Supporting the department with Sales administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
103,Senior Salesperson,Executing high-level Sales independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
104,Lead Salesperson,Leading a team of professionals in Sales project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
105,Head of Salesperson,Defining the long-term strategy for Sales departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
106,Junior Sales Trainer,Assisting in daily tasks and learning Sales operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
107,Assistant Sales Trainer,Supporting the department with Sales administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
108,Senior Sales Trainer,Executing high-level Sales independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
109,Lead Sales Trainer,Leading a team of professionals in Sales project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
110,Head of Sales Trainer,Defining the long-term strategy for Sales departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
111,Junior Floor Supervisor,Assisting in daily tasks and learning Sales operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
112,Assistant Floor Supervisor,Supporting the department with Sales administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
