eid,gid
409,20
12313,21
7155,21
12177,21
16435,21
5897,21
12307,21
11443,21
5380,21
9458,21
14295,21
9014,21
10432,21
9634,21
13784,21
16589,21
17842,21
19773,22
12837,23
17618,24
17624,24
14367,24
14386,24
18979,24
11843,24
8994,24
8512,24
15148,24
6277,24
18256,24
16359,24
11741,24
7374,24
5387,24
9408,24
16417,25
5524,25
7179,25
10936,25
12210,25
10655,25
9573,25
18557,25
11772,25
18442,26
12273,26
5481,26
19215,26
8932,26
8133,26
6358,26
9329,26
12070,26
7739,26
19556,26
14716,26
14828,26
14522,26
18932,26
19960,26
10218,26
13314,26
11675,26
7078,26
8628,26
14058,26
7975,26
11133,26
16775,26
17591,26
4913,26
11599,26
18973,26
5209,26
15938,26
9030,26
8111,26
7883,26
11688,26
8569,26
18529,26
6122,26
12858,26
6661,26
12043,26
10155,26
17686,26
17166,26
6023,26
7632,26
14897,26
12390,26
16729,26
5950,26
8515,26
17531,26
17271,26
14438,26
5306,26
11565,26
8126,26
16023,26
11484,26
9614,26
4780,26
7682,26
6155,26
15913,26
6254,26
4788,26
13430,26
6981,26
13763,26
17602,26
17751,26
9095,26
8753,26
17950,26
8220,26
6956,26
19441,26
8671,27
6860,27
8625,27
10241,27
7413,27
18931,27
11988,27
7468,27
5094,27
7231,27
19889,27
13803,27
19847,27
6510,27
19307,27
18580,27
11058,27
19016,27
16299,27
14927,27
19019,27
14554,27
16968,27
11063,27
12821,27
17005,27
17574,27
15671,27
15250,27
12645,27
6470,27
9854,27
8739,27
6883,27
12000,27
14534,27
12946,27
19447,27
10215,27
9449,27
6578,27
7364,27
11449,27
16783,27
18077,27
11638,27
6029,27
11444,27
18872,27
8355,27
5415,27
13671,27
14938,27
6079,27
18527,27
16119,27
15228,27
10593,27
7886,27
18875,27
10226,27
14172,27
10978,27
5582,27
7018,27
9455,27
9315,27
19291,27
19984,27
17027,27
10381,27
5530,28
13561,28
15031,28
14338,28
5489,28
9212,28
18408,28
19536,28
11031,28
13897,28
18905,28
16875,28
10482,29
14363,29
16133,29
19213,29
16673,29
15304,29
6743,29
6693,30
7242,30
10117,30
15787,30
14124,30
15973,30
10599,30
7589,30
11446,31
9819,32
19622,32
13774,32
5636,32
13270,32
15793,32
12335,32
7917,32
12544,33
10366,33
12434,33
19815,33
17807,33
12078,33
10113,33
17224,33
6422,33
4842,33
16318,33
15945,33
19739,33
17127,33
11439,33
8740,33
11008,33
8039,33
8045,33
6254,33
16127,33
5013,33
10041,33
4883,33
19644,33
12881,33
5315,33
5581,33
12777,33
16295,33
16442,33
15722,33
19033,33
9960,33
18653,33
17370,33
15838,33
7600,33
6508,33
17182,33
18214,33
6255,33
15536,33
7610,33
16122,33
8149,33
18149,33
9777,33
8180,33
15796,33
8755,33
13116,33
8726,33
7001,33
16147,33
16799,33
14421,33
8196,34
8578,34
6744,34
18912,34
15989,34
13792,34
14994,35
19651,35
5046,35
6201,35
6585,35
5802,35
9856,35
5865,35
9477,35
12128,35
16585,35
13661,35
15336,35
13028,35
18099,35
15984,35
10735,35
19511,35
9297,35
5362,35
19710,35
11750,35
18133,35
14303,35
7036,35
5298,35
8760,35
5090,35
11000,35
18580,35
16299,35
9696,35
19971,35
8216,35
10085,35
11915,35
8671,35
19229,35
14634,35
8965,35
11810,35
11724,35
18958,35
18823,35
17341,35
17043,35
16043,35
18905,35
13432,35
9782,35
10676,35
18069,35
13978,35
5274,35
10673,35
19377,35
5893,35
12445,35
16370,36
11486,37
11818,38
6158,39
5945,39
16456,39
16916,39
18908,39
9873,39
9203,39
11903,39
18167,39
18539,39
8044,39
18979,39
15561,39
8970,39
9102,39
14592,39
8561,39
19906,40
1407,40
3274,40
2720,40
13006,40
1196,40
978,40
16646,40
11898,41
8510,41
8255,41
16111,41
9996,41
15479,41
16400,41
17789,41
5448,41
10915,42
11185,42
6026,42
17260,42
10895,42
5652,43
9573,43
6197,43
7428,43
9545,43
9408,43
10424,43
17415,43
18923,43
5455,43
8205,44
5613,44
5679,44
11453,44
8280,44
19904,44
19216,45
6560,45
18987,45
12982,45
4719,45
11110,45
13573,45
8883,45
17453,45
16875,45
7490,45
6259,45
19637,45
13510,45
7431,45
14949,45
7628,45
8196,45
15978,45
6674,45
14060,45
14865,45
16812,45
13867,45
12968,45
12821,45
4765,45
17609,45
16641,45
7278,45
8645,45
18986,45
5817,45
16862,45
12075,45
6844,45
8669,45
18829,45
14554,45
12763,45
9778,45
13916,45
18524,45
11317,45
16319,45
18226,45
12737,45
11559,45
13195,45
15032,45
7362,45
4980,45
11358,45
18319,45
7957,45
5593,45
19093,45
18545,45
14226,45
19315,45
8869,45
10735,45
14417,46
11565,46
5268,46
6981,46
10099,46
6023,46
7687,46
8084,46
13253,46
9596,46
9558,46
5054,46
15980,46
16673,46
4815,46
18124,46
14350,46
11521,46
8126,46
16636,46
1896,47
6657,49
15811,50
3411,50
3920,50
12570,50
15996,50
7863,50
1854,50
7837,50
9537,50
13032,50
7668,50
14176,50
7121,50
3082,50
17446,50
6460,50
13915,50
10416,50
13694,51
11468,52
18606,52
14443,52
13323,52
15258,52
7659,52
9074,52
19018,52
13273,52
19352,52
11220,52
5637,52
5895,52
14656,52
19806,52
14521,52
12908,53
15174,53
12177,53
14295,53
4909,53
17303,53
18726,53
9336,53
18279,53
15404,53
6112,53
19863,53
16435,53
15340,53
8581,53
12855,53
8264,53
13802,54
6327,54
7314,54
1500,54
1371,54
6914,54
10501,54
6831,54
9602,54
10930,54
12214,54
6849,54
1628,54
8888,55
10916,56
7186,56
12546,56
13729,56
16234,56
17327,56
17474,56
18188,56
15309,56
5393,56
8616,56
6491,56
6735,56
8627,56
15308,57
12728,57
7072,57
17731,57
6302,57
18506,57
19613,57
5251,57
6888,57
5899,57
19873,57
8277,57
15503,57
17937,57
9497,57
5196,57
8306,57
13949,59
18368,59
18705,59
5066,59
6275,59
7186,59
6360,59
11918,59
8241,59
9402,59
18490,59
13627,59
1232,60
1806,60
14565,60
1702,60
2525,60
16942,60
1951,60
3312,60
1426,60
2454,60
1636,60
9734,60
1489,60
1547,60
2122,60
1637,60
1443,60
1193,60
1090,60
8469,60
583,60
2033,60
2652,60
1073,60
8011,60
719,60
19576,60
1418,60
1401,60
2702,60
1645,60
18664,60
2023,60
15776,60
2188,60
1847,60
3373,60
1357,60
5920,60
4856,60
11878,60
2651,60
5482,60
795,60
3220,60
1523,60
1737,60
1623,60
3479,60
1918,60
2373,60
670,60
2503,60
1556,60
12765,60
1958,60
1224,60
1726,60
19852,60
13984,60
3498,60
1781,60
2879,60
3002,60
15524,60
2779,60
11044,60
2474,60
2031,60
951,60
2813,60
2635,60
2083,60
549,60
998,60
1875,60
16395,60
2187,60
1242,60
9452,60
3248,60
1117,60
14689,60
874,60
32,61
1207,62
2236,62
2919,62
1124,62
1304,62
2674,62
2396,62
18633,62
11141,62
2815,62
1284,62
2504,62
1402,62
2480,62
12022,62
3247,62
1797,62
13477,62
3040,63
1664,63
1974,63
1814,63
8975,63
913,63
938,63
16721,64
16060,64
10093,64
8804,64
13893,64
5840,64
16814,64
5420,65
1321,66
13212,69
6371,69
9093,69
1074,69
2911,69
785,69
8656,69
9306,69
1055,69
2139,69
1340,69
1715,69
5100,70
14083,72
12564,72
10803,72
16326,72
11817,72
14581,72
10419,72
5677,72
19874,72
18616,72
17439,72
6432,72
9119,72
19541,72
9146,73
19626,74
8357,74
5892,74
3433,74
18461,74
5855,74
16565,74
19648,74
18909,74
17389,74
14998,74
2426,74
14527,74
14500,74
15281,74
11172,74
7959,74
15819,74
17576,74
335,74
8355,75
10610,75
19168,75
13146,75
15835,75
13130,76
11279,76
15655,76
15345,76
19992,76
10242,76
18497,76
11884,76
6343,76
10352,76
19515,76
8750,76
19243,76
16807,76
7435,76
10170,76
7411,76
7901,76
360,77
403,77
234,77
73,77
131,77
124,77
303,77
336,77
373,77
255,77
460,77
16326,80
5511,81
12947,81
5755,81
13741,81
17892,81
18152,81
17442,81
7506,81
12269,85
17728,86
15979,86
11950,86
4806,86
14421,86
7654,86
10283,86
18232,86
9024,86
8992,86
12069,86
16246,86
5890,86
19133,86
9090,86
9201,86
8304,86
10155,86
14401,86
19298,86
19416,87
11873,87
10110,87
15714,87
15489,87
6439,87
10123,87
13316,87
5877,87
18084,87
19290,88
14035,89
15395,90
12678,91
16271,92
17205,93
9932,93
17731,93
18561,93
5077,93
18506,93
7135,93
2994,94
2096,94
1648,94
2931,94
2765,94
1644,94
9858,94
3048,94
692,94
12991,94
7545,94
9988,94
1765,94
15954,96
5571,96
7094,96
4968,96
11106,96
13643,96
14448,96
17971,96
14846,96
8631,96
6593,96
19615,96
15411,96
16664,96
9138,97
11818,97
19993,97
14185,97
10664,97
12545,97
8106,97
11041,97
5277,97
12695,97
11144,97
7725,97
19779,97
18075,97
19584,97
5734,97
7476,97
10968,97
10379,97
16791,97
15662,97
5566,97
10357,97
8736,97
9041,97
7601,97
14488,97
15370,97
14044,97
10822,97
5169,97
17042,97
13830,97
6261,97
5281,97
5001,97
19080,97
6898,97
12038,97
7110,97
10662,97
11205,97
11312,97
15823,97
19296,97
14980,97
19223,97
19484,97
7205,97
14714,97
7027,97
6045,97
5364,97
4776,97
12988,97
8096,97
17504,97
8214,97
6929,97
10741,97
10083,97
9426,97
13162,97
8880,97
10963,97
13086,97
13891,97
13207,97
6225,97
9829,97
6450,97
17083,97
4891,97
17634,97
13888,97
18328,97
12790,97
11882,97
11106,97
9848,97
12459,97
19846,97
13590,97
16708,97
13219,97
9893,97
19250,97
14195,97
11958,97
17410,97
12067,97
5571,97
6921,97
6282,97
15120,97
15729,97
4968,97
18986,98
16264,98
16525,98
6356,98
12716,98
6883,98
7014,98
11110,98
19041,98
11757,98
11888,98
17574,98
15823,100
15370,100
12018,100
5969,100
18585,100
17219,100
14208,100
4721,100
10456,100
10379,100
5843,100
11144,100
16975,100
15662,100
7022,100
12459,101
18796,101
14666,101
9672,101
17634,101
10451,101
16106,101
10917,101
18697,101
12699,101
16791,101
16664,101
13263,101
15370,101
5659,101
8990,102
18359,102
9629,102
12096,102
19166,102
11000,102
17132,103
11811,103
8406,103
10482,103
15265,103
6824,103
11708,103
7223,103
9574,103
7126,103
5377,103
19909,103
19245,103
14138,103
18143,103
17918,103
11177,103
11484,103
7070,103
195,104
268,104
344,104
108,104
205,104
14781,105
531,105
3043,105
3321,105
9343,105
1361,105
906,105
6996,105
2150,105
1575,105
3109,105
2045,105
1484,105
3456,105
7790,105
2319,105
1871,106
6582,106
15299,106
3073,106
2103,106
1475,106
1165,106
5926,106
2404,106
19576,106
2396,106
2360,106
17866,106
16980,106
1038,106
1362,106
3115,106
896,106
2802,106
9317,106
1696,106
1937,106
1944,106
2333,106
9845,106
2292,106
3029,106
9592,106
581,106
844,106
972,106
1012,106
2616,106
5213,106
2150,106
4879,106
2819,106
3298,106
719,106
1435,106
1420,106
16325,106
1610,106
13101,106
1620,106
9809,106
17009,106
704,106
2945,106
1109,106
3063,106
600,106
868,106
1903,106
1533,106
1740,106
924,106
10573,106
16796,106
10005,106
19737,106
2902,106
625,106
19073,106
2817,106
1279,106
2599,106
1991,106
894,106
7075,106
1306,106
3053,106
3272,106
2248,106
19925,106
7266,106
2224,106
10141,106
19543,106
2371,106
2737,106
17893,107
8341,108
18969,108
17683,108
7435,108
12374,108
13410,108
13007,108
8071,108
11970,108
6247,108
14584,108
6370,108
18640,109
11446,109
17806,109
16354,109
14639,109
13788,109
14134,109
7293,109
5430,109
12494,109
12389,109
18121,109
13694,109
13468,109
8497,109
4979,109
6105,109
17339,109
111,110
157,110
398,110
472,110
196,110
462,110
134,110
189,110
329,110
286,110
13,110
20,110
475,110
291,110
152,110
194,110
248,110
22,110
454,110
479,110
17031,111
9711,111
4880,111
19613,111
5587,111
5773,111
17067,111
5580,111
17665,112
14208,112
17533,112
10822,112
10055,112
6390,112
15662,112
16551,112
16708,112
16263,112
6950,112
7022,112
7094,112
4721,112
17737,112
14002,112
12067,112
15055,113
7653,113
7327,113
7590,113
12403,113
13440,113
16337,113
8686,113
15168,113
8941,113
14063,113
11903,113
13559,113
18263,113
12546,113
12716,116
8671,116
8342,116
5256,116
6609,116
17323,116
9282,116
17939,116
13652,116
10840,116
9413,117
19380,117
6305,117
6897,117
17376,117
19014,117
11732,117
12438,117
19478,117
9507,117
7629,117
18398,117
18998,117
18316,117
7871,117
16940,117
14777,118
483,118
16572,118
15469,118
4964,118
2316,118
3720,118
1900,118
7681,118
18905,118
18134,118
17712,118
10447,118
16772,118
18324,118
19874,118
2148,118
6206,118
17674,118
2660,118
17845,118
6864,118
12994,118
13855,118
10862,118
19957,118
2062,118
9722,118
2974,118
1539,118
2482,118
4847,118
5746,118
9533,118
14113,118
18529,118
965,118
9439,118
15012,118
13139,118
1034,118
891,118
7592,118
1822,118
9258,118
13973,118
14874,118
8426,118
2534,118
19888,118
13382,118
6959,118
5420,118
8937,118
19222,118
11661,119
8192,119
8625,119
17118,119
13357,119
8134,119
6013,119
13341,119
10353,119
9553,119
18168,119
6510,119
13360,119
14946,119
16206,119
13395,119
19637,119
19447,119
9181,119
12114,119
9963,119
18450,119
4758,119
6911,119
7413,119
15868,119
15984,119
18556,119
7306,119
7959,119
9535,119
15528,119
13960,119
12973,119
8926,119
16906,119
16913,119
12212,119
11161,119
18933,119
7014,119
15033,119
16555,119
6837,119
11248,119
9978,119
19871,119
15413,119
18524,119
17754,119
18019,119
9292,119
8758,119
7281,119
10474,119
11386,119
9097,119
16875,119
6856,119
16888,119
12899,119
10090,119
5061,119
5893,119
11598,119
7784,119
6544,119
11686,119
12111,119
11211,119
6793,119
17106,119
18759,119
8493,119
8147,119
7415,119
19870,120
19653,120
13106,120
19961,120
7613,120
17857,120
13578,120
12066,120
8229,120
5726,120
19478,120
17799,120
5108,120
15663,120
17915,120
16710,120
15732,120
12912,120
5283,120
10791,120
1654,121
2784,121
2891,121
2243,121
973,121
1246,121
12220,121
15069,121
19812,121
2628,121
1249,121
1816,121
2561,121
16559,122
3935,122
5721,122
17225,122
9801,122
3333,122
5144,122
5293,123
19909,123
15625,123
15824,123
12156,123
15460,123
16815,123
16799,123
13042,123
19486,123
4793,123
5908,123
16497,124
18121,124
13468,124
11446,124
14757,124
6703,124
14134,124
12721,124
15931,124
7207,124
12389,124
15847,124
16354,124
16907,124
12607,124
17334,124
7293,124
13694,124
17612,125
5723,126
17315,126
18566,126
5251,126
14443,126
17907,126
14761,126
10580,126
15408,126
11091,126
11329,126
8772,126
19838,126
14364,126
10874,126
7501,126
9116,126
18575,126
12580,126
8958,126
9932,126
6326,126
14144,126
5192,126
6937,126
6215,126
8742,126
15135,126
15541,126
17974,126
10977,126
18836,126
13231,126
10578,126
9824,126
15737,126
11174,126
16994,126
8504,126
14521,126
15020,126
15594,126
10259,126
8828,126
6053,126
13695,126
10945,126
16042,126
15971,126
10563,126
6949,126
5586,126
12258,126
7802,126
11396,126
9484,126
13227,126
5788,126
7195,126
7085,126
9971,126
6279,126
9761,126
6009,126
18903,126
17308,126
10343,126
13503,126
5032,126
14301,126
12326,126
19070,126
5810,127
402,128
360,128
77,128
208,128
143,128
394,128
3,128
475,128
314,128
6,128
16,128
371,128
296,128
164,129
13414,130
15037,130
16294,130
8155,130
4773,130
18277,130
22,131
475,131
494,131
330,131
374,131
404,131
8,131
450,131
262,131
326,131
156,131
148,131
32,131
65,131
410,131
315,131
56,131
23,131
16,131
295,131
59,131
298,131
160,131
114,131
336,131
146,131
57,131
134,131
113,131
17,131
132,131
78,131
97,131
177,131
81,131
201,131
150,131
64,131
357,131
287,131
66,131
233,131
256,131
423,131
337,131
356,131
194,131
210,131
41,131
306,131
96,131
414,131
477,131
411,131
319,131
375,131
155,131
277,131
296,131
482,131
6261,132
7731,132
19771,132
14185,132
18328,132
19682,132
14666,132
5743,132
13409,132
13086,132
10264,132
19846,132
18585,132
13079,132
17504,132
18377,132
18796,132
9509,133
1087,133
2855,133
1928,133
12377,133
3278,133
1859,133
1665,133
851,133
2908,133
5733,133
2867,133
17064,133
9933,133
3304,133
2796,134
1148,134
10394,134
19576,134
2322,134
543,134
2527,134
2578,134
11045,134
6862,134
13119,134
3132,134
3330,134
984,134
3327,134
2508,134
9400,135
15112,135
18340,135
14740,135
12871,135
16044,135
12801,135
14334,135
9520,135
12340,135
15997,135
7934,135
7842,135
16821,135
12893,135
17993,135
9922,135
18124,135
9090,135
16023,135
10652,135
18381,135
6006,135
5713,135
8068,135
19918,135
11456,135
6384,135
17998,135
16472,135
18244,135
15536,135
11057,135
14311,135
12183,135
12933,135
11832,135
15946,135
11442,135
17221,135
19469,135
12271,135
16952,135
16048,135
19675,135
6750,135
6363,135
15961,135
14832,135
12269,135
10228,135
10330,135
12012,135
17999,135
4883,135
13,137
337,137
254,137
152,137
137,137
35,137
140,137
493,137
9,137
448,137
51,137
73,137
400,137
186,137
12637,139
12676,139
2054,139
1136,139
1151,139
9218,139
1775,139
1202,139
937,139
14872,139
9154,139
1814,139
3018,139
2685,139
6717,139
2718,139
18375,139
12711,141
16942,141
2991,141
2698,141
2899,141
2252,141
1447,141
2628,141
1559,141
17404,141
15677,141
3286,141
951,141
1276,141
6703,142
16354,142
14639,142
8497,142
13694,142
15847,142
7207,142
16820,142
6311,143
13726,143
16766,143
6853,143
19992,143
7433,143
9109,143
10010,143
7561,143
14134,144
18121,144
11771,144
7293,144
4979,144
18640,144
16820,144
12494,144
16907,144
16354,144
9202,144
1066,145
10209,145
1090,145
8277,145
15986,145
17578,145
6935,145
14587,145
16109,145
14483,145
5928,145
6432,145
9823,145
11937,145
10878,145
7573,145
15349,145
13590,145
19275,146
12663,146
325,146
12913,146
16666,146
15391,146
8506,146
6059,146
4581,146
11259,146
6016,146
16877,146
13240,146
2052,146
7164,146
16292,146
13541,146
2273,147
459,147
2796,147
1771,147
8028,147
273,147
8110,147
2075,149
764,149
3209,149
3390,149
19976,149
2003,149
2371,149
1095,149
2538,149
18228,151
18295,152
8497,152
6703,152
14134,152
13694,152
16820,152
6105,152
16820,153
11771,153
13788,153
8174,153
16354,153
18640,153
7822,153
4979,153
17806,153
13694,153
11953,153
8497,153
12389,153
12721,153
12494,153
6703,153
5430,153
17339,153
13473,154
10998,154
12138,154
11500,154
9880,154
15135,154
19870,154
7747,154
18018,154
15503,154
16028,154
17726,155
11248,155
13972,155
5741,155
19165,155
17601,155
19386,155
18043,155
8200,155
18022,155
12318,155
8870,155
10931,155
12105,155
5262,155
12322,155
9493,155
16218,155
15735,155
9167,155
15259,155
6186,155
9442,155
9449,155
14162,155
18675,155
12000,155
12808,155
14969,155
8661,155
5210,155
13800,155
9628,155
8239,155
10250,155
5924,155
12994,155
14779,155
9716,155
10544,155
15889,155
10718,155
12352,155
8785,155
6918,155
5344,155
14115,155
16812,155
19752,155
16755,155
18069,155
15942,155
16535,155
11077,155
6622,155
5207,155
9584,155
15504,155
18389,155
18432,155
6942,155
16999,155
14290,155
16493,155
17144,155
8196,155
7281,155
10593,155
14537,155
12049,155
6093,155
18767,155
10590,155
19686,155
19651,155
7710,155
16156,155
5562,155
5329,155
16319,155
17748,156
11498,156
14485,156
17417,156
6436,156
7894,156
17554,156
6136,156
16346,156
18881,156
16536,156
9634,156
17842,156
7701,156
9336,156
11541,156
18201,156
18618,156
17603,156
13167,156
13266,156
7155,156
17318,156
14254,156
17386,156
6830,156
17583,156
14465,156
7594,156
6858,156
11202,156
11492,156
7848,156
9388,156
5231,156
17270,156
7820,156
8792,156
14431,156
14009,156
15208,156
6030,156
19946,156
10328,156
18496,156
9488,156
14295,156
11733,156
19492,156
5074,156
15295,156
7361,156
10499,156
8581,156
7781,156
5930,156
6062,156
13302,156
16292,156
14916,156
4790,156
7310,156
11024,156
5718,156
19912,156
11797,156
4912,156
16355,156
12588,156
7088,156
8510,156
12507,156
8405,156
15404,156
12107,156
11212,156
14649,156
7973,156
12333,156
11377,156
9910,156
14734,156
7984,156
12458,156
15798,156
18048,156
5345,156
13570,156
14284,156
882,157
14026,157
654,157
1449,157
3369,157
3424,157
1270,157
9665,157
8310,157
996,157
12711,157
2065,157
16079,157
822,157
14891,157
15689,157
664,157
3434,157
17840,157
4852,158
8008,158
11271,158
15927,158
12554,158
18604,158
7816,158
8275,158
11934,158
13526,158
13609,158
8531,158
6772,159
6277,159
7274,159
16083,159
12591,159
15211,159
9515,159
1783,160
13271,161
5708,161
14278,161
13719,161
8909,161
13187,161
18328,161
12790,161
19740,161
5191,161
19584,161
5159,161
10822,161
16370,161
13881,161
6703,162
14639,162
4979,162
13694,162
12607,162
14757,162
16907,162
18295,162
14283,162
12721,162
12389,162
8174,162
7207,162
15847,162
12494,162
8497,162
13788,162
16354,162
13468,163
16354,163
18295,163
11953,163
18121,163
12721,163
15931,163
17806,163
15847,163
8174,163
17334,163
16497,163
16907,163
14134,163
10337,163
12389,163
12607,163
13847,165
6795,165
7477,165
7319,165
18376,165
18703,165
4967,165
7791,165
10150,165
14837,165
6832,165
19573,165
4884,165
18722,165
5543,165
12688,165
5529,166
2659,166
8436,166
2187,166
2593,166
2796,166
1315,166
7220,166
1891,166
1174,166
1239,166
1520,166
13078,166
1535,166
1668,166
9278,166
15075,167
11611,168
7372,169
15364,169
10144,169
15270,169
17468,169
10042,169
12203,169
19873,169
9749,169
7986,169
7640,169
8545,169
18409,169
12816,169
14083,169
18191,169
13514,169
13416,169
6759,171
15987,171
6463,171
17235,171
13932,171
16274,171
9676,171
15021,171
7196,171
7639,171
6228,171
9959,171
18803,171
12199,171
8595,171
13767,171
17526,171
5392,171
9440,171
7638,172
17670,172
12997,172
13782,172
9978,172
18338,172
11296,172
13365,172
10675,172
14249,172
13987,172
5061,172
19270,172
9239,172
8448,172
17579,172
9727,172
13003,172
12937,172
13103,173
13479,173
10010,173
7244,173
7155,173
10536,173
17959,173
8853,173
12578,173
16545,173
11898,173
14305,173
5720,173
7154,173
13745,173
10631,173
12085,173
17595,173
14985,173
10073,173
16655,173
18203,173
6711,173
4971,173
7321,173
4720,173
19808,173
15884,173
12387,173
9458,173
6834,173
12458,173
18729,173
7202,173
8599,173
7423,173
4871,173
13328,173
9771,173
11278,173
15655,173
14597,173
14539,173
6783,173
6136,173
15916,173
11591,173
14762,173
12927,173
7212,173
16244,173
12855,173
12622,173
19042,173
9336,173
15473,173
17603,173
12654,173
16125,173
19091,173
18662,173
5822,173
19512,173
16676,173
19424,173
16651,173
10818,173
16825,173
18948,173
13410,173
19044,173
17039,173
11253,173
12835,173
4855,173
12908,173
18969,173
19641,173
18219,173
16237,173
13128,173
9451,173
8236,173
16892,173
15180,173
9655,173
16128,173
13350,173
7389,173
14738,173
16317,173
10727,173
12811,173
11202,174
13429,174
16766,174
7244,174
13720,174
12218,174
7354,174
13130,174
14487,174
15398,174
15248,174
18555,174
11197,174
11722,174
7834,174
17595,174
11585,174
15849,174
8497,175
16907,175
15847,175
10337,175
13468,175
15931,175
17339,175
5430,175
6105,175
18121,175
17334,175
4979,175
9202,175
7822,175
11953,175
12389,175
7207,175
12607,175
7293,175
2653,176
6976,176
1189,176
17312,176
1998,176
3389,176
17404,176
2223,176
3347,176
5329,178
17084,178
19165,178
5759,178
12097,178
16493,178
5287,178
