EVid,Eid
69,15381
70,18908
42,8955
37,9491
283,6733
244,14078
283,4844
422,9436
126,18257
296,6798
89,18270
357,11906
413,15192
262,16806
236,13409
303,18564
244,10519
208,19160
326,16518
83,12061
243,13901
66,13769
462,7567
409,9318
83,13421
490,11983
62,10137
486,16849
180,11560
251,15795
259,18346
429,15492
235,18004
71,9346
432,5960
352,6815
255,12531
34,5927
126,19577
419,15721
243,14020
436,14254
299,17382
243,10211
70,12169
271,8544
113,9323
477,16476
79,12528
448,9408
119,14961
66,9649
121,7701
68,13314
163,19802
308,18150
295,9572
233,18874
230,11349
317,6578
110,17141
45,15880
441,12899
399,15960
374,8302
343,18152
285,10614
397,16060
305,14368
403,6279
148,7616
231,8656
432,15220
337,18169
490,14198
202,17007
414,15525
283,7724
41,15726
208,10728
321,15596
377,10688
208,14827
429,15177
158,8457
328,9905
232,16103
374,16117
335,6911
288,17067
158,12421
208,12280
43,18091
40,14770
327,18711
380,10849
283,6798
191,14848
73,6564
382,10073
374,8268
126,19787
213,13423
416,8643
71,6275
228,18378
327,17487
335,13592
92,17040
288,12486
22,18364
372,19259
35,12271
235,16707
483,15832
163,17109
488,11996
490,10289
471,19055
32,9810
187,15871
40,10267
228,7622
178,9475
185,13649
152,6635
88,11874
346,11618
76,8963
331,17822
247,17794
68,16434
61,19809
294,12183
255,17363
219,7846
99,15989
341,17251
69,13886
457,17338
158,16805
224,12161
198,7050
22,6176
331,18206
432,15879
121,8014
219,14330
183,6327
468,5836
244,19503
490,16885
91,11322
213,16498
459,16987
349,14965
441,7992
103,9938
218,15013
248,7021
441,16881
322,10408
489,15104
399,6595
500,19208
465,11944
491,7653
114,10469
271,10457
343,14574
143,13155
448,10779
423,18437
397,9954
83,18510
298,14520
35,10977
158,18506
481,14177
347,11722
126,7658
496,13530
208,11057
296,8098
251,7894
291,13319
52,17692
498,5603
88,6650
496,11419
131,18313
292,18945
444,8914
405,5521
327,9436
405,6855
228,5437
91,17201
45,17435
401,11529
283,16109
296,16051
255,7621
40,13379
218,7307
297,6557
297,11460
159,10229
348,7391
200,10717
258,13036
205,12948
305,8231
218,19006
196,15812
395,13757
213,10312
305,10093
340,6300
259,11732
244,19976
68,14210
403,7013
14,18499
311,5423
158,17656
76,5697
82,16237
414,11641
354,11008
121,19208
136,16201
89,5118
366,9949
198,15369
88,17522
296,13430
239,16886
179,19459
317,10396
343,18038
64,13986
182,10894
299,13368
401,11272
459,18446
444,9327
69,6100
83,7440
296,7370
498,8168
255,12835
357,4874
453,14369
441,8822
295,15503
29,5301
115,14730
464,9314
166,9224
11,13690
467,7812
26,19981
88,14196
263,8900
104,13767
230,13265
181,19610
163,15064
11,13500
387,16378
38,11002
283,16014
343,11468
259,6562
163,12589
283,7962
208,11854
388,18003
72,6896
478,10522
482,9615
289,9834
187,7979
365,11940
368,18934
444,8884
64,9421
103,12555
234,19559
299,9538
341,14011
164,18486
311,14357
67,7669
432,12580
500,5006
248,12206
203,8595
32,19006
271,18517
403,15582
111,12154
208,12620
65,10632
208,17101
381,6120
401,6370
474,5665
401,12213
447,7845
453,13346
500,15647
183,16744
449,11315
282,16947
444,6747
295,10401
201,12593
70,9855
38,10249
310,15666
14,7319
69,14818
11,6742
326,12311
327,18383
14,18914
468,15444
138,19436
343,10786
198,16295
62,19537
35,10502
264,11001
82,5044
444,7626
45,4823
497,13576
160,18994
392,8396
345,13347
91,12205
208,9403
187,15557
454,11314
22,8141
357,10972
461,6273
23,19723
433,18338
405,11650
233,8072
454,8907
483,5952
40,9057
365,5213
132,14470
389,18353
363,11700
499,10664
181,12553
343,13087
488,11415
374,10387
465,6625
208,4896
32,6083
464,13089
379,6191
13,18019
22,14229
47,8785
189,14131
464,9475
403,13273
187,19662
301,11935
165,11696
35,19472
401,14413
470,5854
67,15327
32,5276
177,18268
87,18912
82,7657
490,14721
255,4786
203,19770
83,15870
18,11770
311,17074
271,11822
94,15652
480,4993
247,19484
291,11489
83,7865
365,8158
22,10420
448,12038
420,16867
498,14801
448,6470
303,19405
254,7167
454,11722
296,11023
440,18846
72,8064
258,18132
316,7128
224,8642
377,19879
68,8819
126,19264
177,14302
150,9714
245,16327
499,12746
322,11286
277,19265
417,5864
271,8630
30,14236
17,14294
28,10915
378,10836
21,17152
191,12705
83,17673
384,16344
40,7703
297,9974
45,18047
257,8814
42,8446
473,11153
478,8476
26,13271
103,12269
378,18835
95,5632
368,10990
381,4932
30,9456
130,14743
222,7604
93,6386
48,9699
147,9081
405,15909
208,9775
396,13376
343,12908
150,18938
313,16703
365,8760
182,6883
235,9971
394,13053
346,8434
493,7899
331,18597
311,17527
